wav_filepath,wav_filesize,duration,transcript
data/raw/audio/sm04500301092.wav,98524,3.078,sjaši i daj mi da pijem iz svoga zlatnog pehara
data/raw/audio/sm04500702033.wav,37084,1.157,a majka reče medvjedu
data/raw/audio/sm04500605009.wav,24254,0.757,ženo
data/raw/audio/sm04500805080.wav,74524,2.328,jer te volim iznad svega na svijetu
data/raw/audio/sm04500104007.wav,152606,4.768,joringel nije mogao ni riječi protisnuti niti se maknuti s mjesta
data/raw/audio/sm04500302116.wav,40058,1.25,pa joj djevojka uvijek kazuje
data/raw/audio/sm04500203018.wav,131724,4.115,izaslanik stajao pokraj spavača i čekao dok ovaj protegne krake
data/raw/audio/sm04500604093.wav,111084,3.47,protkanu zlatom sjedi na još višem prijestolju
data/raw/audio/sm04500605097.wav,40284,1.258,i sad sjedi
data/raw/audio/sm04500201067.wav,99624,3.112,i sasvim mirno gleda oko sebe
data/raw/audio/sm04500102088.wav,129706,4.052,pritislo ga teško kamenje te on pade i tako uginu
data/raw/audio/sm04500804092.wav,85964,2.685,odmah pohiti ogledalu da ga pita
data/raw/audio/sm04500203027.wav,139322,4.352,i zaključiše da svi zajedno iziđu pred kralja
data/raw/audio/sm04500502026.wav,54124,1.69,a one već dokončale posao
data/raw/audio/sm04500301093.wav,113162,3.535,kraljevna osjeti jaku žeđ te će djevojci kraj sebe
data/raw/audio/sm04500101042.wav,98312,3.071,nije znala koliko je to opaka životinja
data/raw/audio/sm04500805082.wav,40284,1.258,ali da mi dopustiš
data/raw/audio/sm04500401091.wav,83750,2.616,i spustila dvadeset lakata
data/raw/audio/sm04500302113.wav,60198,1.88,konrad tada odvrati
data/raw/audio/sm04500103046.wav,81484,2.545,nisu znali kuda će se vratiti kući
data/raw/audio/sm04500302035.wav,28930,0.903,reče ona živoderu
data/raw/audio/sm04500101091.wav,48528,1.515,da nabere cvijeća
data/raw/audio/sm04500901072.wav,195794,6.117,kraljevno ti najmlađa vrata meni ded otvori
data/raw/audio/sm04500601098.wav,48684,1.52,od kositra i mjedi
data/raw/audio/sm04500302121.wav,81852,2.557,i tako konrad pripovjedi sve po redu
data/raw/audio/sm04500504047.wav,33418,1.043,pepeljugu
data/raw/audio/sm04500503019.wav,187062,5.844,čekao je ondje dok nije naišao djevojčin otac komu kraljević reče
data/raw/audio/sm04500204138.wav,56284,1.758,uhvati ih golem strah
data/raw/audio/sm04500402018.wav,78154,2.441,i kad je razabrala da je mlad i lijep
data/raw/audio/sm04501002009.wav,113486,3.545,bukvan i njegova neobična povorka stiže najposlije u neki grad
data/raw/audio/sm04500504017.wav,89596,2.799,i vidje kako odande krv curi
data/raw/audio/sm04500203030.wav,202730,6.334,kralju bilo žao da zarad jednoga jedinog stranca izgubi sve svoje vjerne sluge
data/raw/audio/sm04500201059.wav,127768,3.991,pa je spravi u ep gdje mu se nalazio sir
data/raw/audio/sm04500303070.wav,125080,3.907,a dotle je guščarica na miru češljala uvojke i plela kosu
data/raw/audio/sm04500501102.wav,75964,2.373,jer bi i ona rada na ples
data/raw/audio/sm04500402077.wav,34884,1.089,i briznu u plač
data/raw/audio/sm04500602054.wav,74284,2.32,u njoj pod od mramora
data/raw/audio/sm04500805032.wav,39324,1.228,da ga čuva
data/raw/audio/sm04500103054.wav,44224,1.381,a onda odjednom
data/raw/audio/sm04500802004.wav,42342,1.322,ali joj ništa ne učiniše
data/raw/audio/sm04500802079.wav,64120,2.002,snjeguljica se probudi
data/raw/audio/sm04500201027.wav,72044,2.25,te nastavi marno šiti
data/raw/audio/sm04500605084.wav,49076,1.532,što je
data/raw/audio/sm04500302101.wav,78896,2.464,tako da je momak morao juriti za njim naokolo
data/raw/audio/sm04500203023.wav,71758,2.241,i puni zavisti
data/raw/audio/sm04500703030.wav,69318,2.165,čovuljak naime pecao ribu
data/raw/audio/sm04500901040.wav,95724,2.99,ako ti iz dna izvučem igračku
data/raw/audio/sm04500701020.wav,125484,3.92,snjeguljica bi zimi ložila vatru i vješala kotlić nad ognjište
data/raw/audio/sm04500204012.wav,84206,2.63,krojačić poslije zatraži od kralja da održi riječ
data/raw/audio/sm04500902075.wav,96284,3.007,prasnulo je još jednom pa onda opet
data/raw/audio/sm04500501011.wav,23164,0.723,to rekavši
data/raw/audio/sm04500203044.wav,220092,6.877,reče u sebi krojačić zadobiti lijepu kraljevu kćer i polovinu kraljevine po vrhu
data/raw/audio/sm04500102087.wav,64284,2.007,crvenkapica brže bolje donese kamenja
data/raw/audio/sm04500103003.wav,122894,3.839,u dvorcu živjela stara žena sama samcata
data/raw/audio/sm04500201030.wav,160172,5.004,za koji su se prilijepile i po njemu plazile mnoge i mnoge muhe
data/raw/audio/sm04501002002.wav,45154,1.41,tabalo i cupkalo
data/raw/audio/sm04500204062.wav,65484,2.045,što u šumi pravi veliku štetu
data/raw/audio/sm04500504031.wav,51648,1.613,pa odjaha odande
data/raw/audio/sm04500902031.wav,49644,1.55,i tu je baci u kut
data/raw/audio/sm04500803061.wav,87502,2.733,te izvadi i pokaza otrovni češalj
data/raw/audio/sm04500203059.wav,112900,3.527,tu doplazi i lijepo se smjesti na jednu granu
data/raw/audio/sm04500202025.wav,33418,1.043,izazva ga div
data/raw/audio/sm04500702071.wav,137004,4.28,dok su tako prolazile šumom naiđu na veliko stablo
data/raw/audio/sm04500801020.wav,247148,7.722,bila je to žena veoma lijepa ali ohola i nadmena nije mogla ni zamisliti a kamoli podnijeti da je itko ljepotom natkrili
data/raw/audio/sm04500501043.wav,100764,3.147,i još joj dvije zlobne sestre zadavale svakakvih jada
data/raw/audio/sm04501001001.wav,57006,1.78,zlatna guska
data/raw/audio/sm04500805072.wav,21026,0.656,gdje sam
data/raw/audio/sm04500702035.wav,67404,2.105,tu si zatićen od studeni i nevremena
data/raw/audio/sm04501001019.wav,141084,4.407,otac mu odgovori braća ti se ozlijedila pa kako ćeš ti
data/raw/audio/sm04500601100.wav,140364,4.385,maleno dvorište s kokošima i patkama i malen vrt s povrćemi i voćkama
data/raw/audio/sm04500504092.wav,96766,3.023,nalazila se starija maćehina kći s lijeve strane
data/raw/audio/sm04500203106.wav,189106,5.908,i hrču tako i toliko da se od njihove hrke sve grane njišu
data/raw/audio/sm04500504048.wav,100544,3.141,ona je najprije umila ruke i lice
data/raw/audio/sm04500101023.wav,40308,1.258,ovim će se okrijepiti
data/raw/audio/sm04500604089.wav,75402,2.355,on se progura kroz svijet što se natiskao
data/raw/audio/sm04500802007.wav,63246,1.975,a već se i večer bližila
data/raw/audio/sm04500604018.wav,61484,1.92,podno prijestolja stoje mnogi
data/raw/audio/sm04500804080.wav,123564,3.86,pa kad je vidjela kako je stara slasno zagriza i žvače
data/raw/audio/sm04500602076.wav,64524,2.015,a sada valja na počinak
data/raw/audio/sm04500201082.wav,47404,1.48,te ga odmah i saši
data/raw/audio/sm04500202029.wav,54494,1.702,koji se više neće vratiti
data/raw/audio/sm04500504028.wav,59628,1.862,ugura nogu u cipelicu
data/raw/audio/sm04500501072.wav,41804,1.305,i ponese je sa sobom
data/raw/audio/sm04500204021.wav,89006,2.78,valja ti izvršiti još jedno junačko djelo
data/raw/audio/sm04500805054.wav,34124,1.065,opet će kraljević
data/raw/audio/sm04500504084.wav,57246,1.788,i da s pepeljugom sreću dijele
data/raw/audio/sm04501001066.wav,137564,4.298,bila to slasna bazlamač a kad je odčepio bocu
data/raw/audio/sm04500701052.wav,113206,3.536,anđeo čuvar što čuva dobru djecu
data/raw/audio/sm04500604091.wav,75884,2.37,tisuće svjetala a njegova žena
data/raw/audio/sm04500804098.wav,101244,3.163,opako joj i zavisti puno srce
data/raw/audio/sm04500701013.wav,101244,3.163,majka je znala gdje su i nije se uznemirivala
data/raw/audio/sm04500804062.wav,59244,1.85,dočeka lažna seljakinja
data/raw/audio/sm04500401106.wav,50926,1.59,ali ih ne mogaše naći
data/raw/audio/sm04500301088.wav,128122,4.002,i drugih dragocjenosti ukratko opremi je svim onim
data/raw/audio/sm04500301048.wav,80686,2.52,ali dvorkinja odgovori još nabusitije
data/raw/audio/sm04500101047.wav,39426,1.231,otpozdravi ona
data/raw/audio/sm04500602061.wav,122964,3.841,pod težinom svakovrsnih jela i najbiranijih vina
data/raw/audio/sm04500203092.wav,126146,3.941,zacijelo je on kakav moćan gospodin
data/raw/audio/sm04500401089.wav,41646,1.3,te odvila pletenice
data/raw/audio/sm04500502040.wav,96524,3.015,kad je maćeha istresla u pepeo dvije zdjele leće
data/raw/audio/sm04500802066.wav,54170,1.691,zovnu ostale
data/raw/audio/sm04500601002.wav,63004,1.968,bili jednom ribar i njegova žena
data/raw/audio/sm04501001056.wav,53964,1.685,zar se takvo što pristoji
data/raw/audio/sm04500504022.wav,73926,2.309,i sretno ugura nožne prste u cipelu
data/raw/audio/sm04500602010.wav,66666,2.082,ženska glavo
data/raw/audio/sm04500805059.wav,38684,1.208,što imam na svijetu
data/raw/audio/sm04500201081.wav,175076,5.47,treba da o tome zna cio grad i krojačić bre bolje skroji sebi pojas
data/raw/audio/sm04500601051.wav,52844,1.65,idi opet onamo i zovni ga
data/raw/audio/sm04500603089.wav,88124,2.752,moja bi žena sada da bude carica
data/raw/audio/sm04500501097.wav,74684,2.333,zovnule su pepeljugu te joj rekle
data/raw/audio/sm04500101112.wav,48156,1.504,vrata se otvoriše
data/raw/audio/sm04500101068.wav,85122,2.659,samo valja da to lukavo izvedem
data/raw/audio/sm04501002107.wav,43886,1.37,ti mi jedini možeš pomoći
data/raw/audio/sm04500101038.wav,36826,1.149,daleko od sela
data/raw/audio/sm04500202039.wav,90604,2.83,i povede krojačića do golema hrasta
data/raw/audio/sm04500901057.wav,172764,5.397,uroni u dubinu i nakon časak dva izroni opet na površinu
data/raw/audio/sm04500301082.wav,114926,3.59,nju potom povedoše uza stube u kraljevske dvore
data/raw/audio/sm04500805060.wav,108606,3.393,videći gdje je kraljeviću snjeguljica zaista omiljela
data/raw/audio/sm04501002035.wav,143486,4.483,na kojem je ono posjekao neobično stablo zateče čovuljka gdje sjedi na panju
data/raw/audio/sm04500502100.wav,18052,0.563,idem i ja
data/raw/audio/sm04500804094.wav,222764,6.96,ponajljepša u svoj zemlji između mnogih ljepotica koja li je krasotica
data/raw/audio/sm04500802014.wav,56318,1.759,ubavo i čisto
data/raw/audio/sm04500202097.wav,88054,2.75,i svaki u ruci drži pečenu ovcu
data/raw/audio/sm04500101001.wav,36268,1.132,crvenkapica
data/raw/audio/sm04500902060.wav,117484,3.67,sav sretan i presretan što mu se gospodar napokon izbavio
